epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,9236.72,0.29425,0.16845,0.78303,0.99918,0.98901,0.99497,0.95886,0.26986,0.14024,0.79778,0.0004358,0.0004358,0.0004358
160,9291.5,0.29764,0.16767,0.77912,1,0.99592,0.995,0.95942,0.27235,0.14038,0.79835,0.0004259,0.0004259,0.0004259
161,9346.54,0.29496,0.16855,0.77813,1,0.98858,0.995,0.95784,0.26853,0.13791,0.79759,0.000416,0.000416,0.000416
162,9401.91,0.29586,0.16846,0.77738,0.99726,1,0.995,0.95868,0.26891,0.13823,0.79774,0.0004061,0.0004061,0.0004061
163,9457.21,0.29622,0.16979,0.78175,0.99454,1,0.995,0.95755,0.27023,0.13766,0.79805,0.0003962,0.0003962,0.0003962
164,9512.07,0.29863,0.1688,0.77981,0.99454,1,0.995,0.95983,0.27164,0.14138,0.79826,0.0003863,0.0003863,0.0003863
165,9566.79,0.29522,0.16687,0.77978,0.99183,1,0.995,0.96019,0.27153,0.13898,0.79742,0.0003764,0.0003764,0.0003764
166,9621.87,0.29301,0.16685,0.78,0.98913,1,0.995,0.95842,0.27236,0.13695,0.79762,0.0003665,0.0003665,0.0003665
167,9677.19,0.28774,0.16401,0.78252,0.98378,1,0.995,0.9572,0.27217,0.13776,0.79804,0.0003566,0.0003566,0.0003566
168,9732.42,0.28769,0.16414,0.77763,0.99183,1,0.995,0.95975,0.27065,0.13815,0.7976,0.0003467,0.0003467,0.0003467
169,9787.6,0.29451,0.16634,0.77878,0.99183,1,0.995,0.95876,0.26999,0.137,0.79684,0.0003368,0.0003368,0.0003368
170,9842.99,0.28982,0.16323,0.78363,0.99183,1,0.995,0.95806,0.26924,0.13645,0.7971,0.0003269,0.0003269,0.0003269
